sku,image_url,error
BED-76474-SERGIO-GRAY-HB-BEDROOM-SET,https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-09-28T154046.066_1800x1800.png?v=1695904857,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-09-28T154046.066_1800x1800.png?v=1695904857: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-09-28T154046.066_1800x1800.png?v=1695904857'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76473-B743-FULL-VANITY,https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2022-11-18T010943.893_1800x1800.png?v=1668762587,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2022-11-18T010943.893_1800x1800.png?v=1668762587: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2022-11-18T010943.893_1800x1800.png?v=1668762587'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76494-SERENA-BED-UPHOLSTERY,https://www.alrugaibfurniture.com/cdn/shop/files/serena-bedroom-set-1608569_1800x1800.jpg?v=1755768476,"Validation error: {""detail"":""No objects detected in image for category 'bed'. Cannot ingest product without detection. Please ensure the image contains a clear view of the product.""}"
BED-76518-KING-SLIEGH-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/1_3da54d91-41a8-4fb6-b7cf-8ed8f85c09d5_1800x1800.png?v=1747298303,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/1_3da54d91-41a8-4fb6-b7cf-8ed8f85c09d5_1800x1800.png?v=1747298303: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/1_3da54d91-41a8-4fb6-b7cf-8ed8f85c09d5_1800x1800.png?v=1747298303'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76516-SOCALLE-QUEEN-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T100952.463_1800x1800.png?v=1692601605,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T100952.463_1800x1800.png?v=1692601605: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T100952.463_1800x1800.png?v=1692601605'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76537-SOCALLE-FULL-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T103516.041_1800x1800.png?v=1692603128,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T103516.041_1800x1800.png?v=1692603128: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/Untitleddesign-2023-08-21T103516.041_1800x1800.png?v=1692603128'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76557-WELLTERN-KING-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/1_d5d101b4-a2ac-4db2-9b26-fe8501446b59_1800x1800.png?v=1747300515,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/1_d5d101b4-a2ac-4db2-9b26-fe8501446b59_1800x1800.png?v=1747300515: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/1_d5d101b4-a2ac-4db2-9b26-fe8501446b59_1800x1800.png?v=1747300515'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76563-WELLTERN-QUEEN-BEDROOM,https://www.alrugaibfurniture.com/cdn/shop/files/1_782c1004-7a21-4b0a-bfc6-675e05dd7c5c_1800x1800.png?v=1747300589,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/1_782c1004-7a21-4b0a-bfc6-675e05dd7c5c_1800x1800.png?v=1747300589: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/1_782c1004-7a21-4b0a-bfc6-675e05dd7c5c_1800x1800.png?v=1747300589'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76578-SOUTH-BEACH-LIGHT-GREY-MARBEL-,https://www.alrugaibfurniture.com/cdn/shop/files/SouthBeach5PCKingBedroomSetinAlmondWhiteLifestyle_ecadd241-2c2e-41a4-89f0-7759c77903ec_1800x1800.jpg?v=1690358875,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/files/SouthBeach5PCKingBedroomSetinAlmondWhiteLifestyle_ecadd241-2c2e-41a4-89f0-7759c77903ec_1800x1800.jpg?v=1690358875: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/files/SouthBeach5PCKingBedroomSetinAlmondWhiteLifestyle_ecadd241-2c2e-41a4-89f0-7759c77903ec_1800x1800.jpg?v=1690358875'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
BED-76581-BOONES-BEDROOM-SET,https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-01-30T093222.387_1800x1800.png?v=1675060199,"Failed to download image from https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-01-30T093222.387_1800x1800.png?v=1675060199: Client error '404 Not Found' for url 'https://www.alrugaibfurniture.com/cdn/shop/products/Untitleddesign-2023-01-30T093222.387_1800x1800.png?v=1675060199'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
